date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:15:40	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-6819ee4a-e328b1ac29f5a47c;gz%22	https://grodi.site/robots.txt		(from )
16:15:41	2132/2132	---M-Z	200	added ('OK')	text/html	etag:%22854-687a631d-b0e9be8a78a3ba8c;gz%22	https://grodi.site/	C:/My%20Web%20Sites/grow%20a%20garden/grodi.site/index.html	(from )
16:15:41	9184/9184	---M-Z	200	added ('OK')	text/css	etag:%2223e0-6872dd99-fea246a444b00f3b;gz%22	https://grodi.site/assets/index-lhAeAWUx.css	C:/My%20Web%20Sites/grow%20a%20garden/grodi.site/assets/index-lhAeAWUx.css	(from https://grodi.site/)
16:15:41	201179/201179	---M-Z	200	added ('OK')	application/x-javascript	etag:%22311db-6872dd99-452412cd33721783;gz%22	https://grodi.site/assets/index-_S3ckQvE.js	C:/My%20Web%20Sites/grow%20a%20garden/grodi.site/assets/index-_S3ckQvE.js	(from https://grodi.site/)
16:15:42	27325/27325	---MCZ	200	added ('OK')	application/javascript	etag:W/%22992e22a8364e2f1b7c5acf08692141ca%22	https://d1mikxzr3lp4va.cloudfront.net/5f070a5.js	C:/My%20Web%20Sites/grow%20a%20garden/d1mikxzr3lp4va.cloudfront.net/5f070a5.js	(from https://grodi.site/)
16:15:42	4511/4511	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-6819ee4a-e328b1ac29f5a47c;gz%22	https://grodi.site/$&/	C:/My%20Web%20Sites/grow%20a%20garden/grodi.site/$&/index.html	(from https://grodi.site/assets/index-_S3ckQvE.js)
16:15:42	48971/48971	---M--	200	added ('OK')	image/png	etag:%227990d2825101d240018987111e55485c%22	https://growgarden.dev/avatar/blueboy2.png	C:/My%20Web%20Sites/grow%20a%20garden/growgarden.dev/avatar/blueboy2.png	(from https://grodi.site/assets/index-_S3ckQvE.js)
16:15:43	15596/15596	---M--	200	added ('OK')	image/png	etag:%22093aeeab69ebfed67d9da5c4fc53195a%22	https://growgarden.dev/avatar/blueboy.png	C:/My%20Web%20Sites/grow%20a%20garden/growgarden.dev/avatar/blueboy.png	(from https://grodi.site/assets/index-_S3ckQvE.js)
16:15:43	37658/37658	---M--	200	added ('OK')	image/png	etag:%22ba73704ae63bab388803e800200644e1%22	https://growgarden.dev/avatar/genericgirl1.png	C:/My%20Web%20Sites/grow%20a%20garden/growgarden.dev/avatar/genericgirl1.png	(from https://grodi.site/assets/index-_S3ckQvE.js)
16:15:43	43013/43013	---M--	200	added ('OK')	image/png	etag:%22c3adf9c9814464369840370213868063%22	https://growgarden.dev/avatar/jerome.png	C:/My%20Web%20Sites/grow%20a%20garden/growgarden.dev/avatar/jerome.png	(from https://grodi.site/assets/index-_S3ckQvE.js)
16:15:43	33306/33306	---M--	200	added ('OK')	image/png	etag:%22244e9947974922f79a69f3eb4ccc1baf%22	https://growgarden.dev/avatar/john.png	C:/My%20Web%20Sites/grow%20a%20garden/growgarden.dev/avatar/john.png	(from https://grodi.site/assets/index-_S3ckQvE.js)
16:15:44	14880/14880	---M--	200	added ('OK')	audio/mpeg	etag:%223a20-6872dd96-6f099b60087b9a12;;;%22	https://grodi.site/assets/audio_63c49c13c8-CzxTsqlN.mp3	C:/My%20Web%20Sites/grow%20a%20garden/grodi.site/assets/audio_63c49c13c8-CzxTsqlN.mp3	(from https://grodi.site/assets/index-_S3ckQvE.js)
16:15:44	466697/466697	---M--	200	added ('OK')	image/png	etag:%2271f09-6872dd97-6defc5df5e74f110;;;%22	https://grodi.site/assets/beanstalk-BtTBSAhr.png	C:/My%20Web%20Sites/grow%20a%20garden/grodi.site/assets/beanstalk-BtTBSAhr.png	(from https://grodi.site/assets/index-_S3ckQvE.js)
